;Digikey;Par number;USD;Sold per;required
ULDO;497-1242-1-ND;LD1117S33TR;0,81;1;1
MCU;ATMEGA328-AU-ND;ATMEGA328-AU;3,83;1;1
Resonator;445-5232-1-ND;CCR8.0MXC8T;1,02;1;1
Led G;754-1127-1-ND;APT2012CGCK;0,17;1;1
Led R;754-1132-1-ND;APT2012SRCPRV;0,16;1;1
Xbee connector;S5902-10-ND;NPPN101BFLD-RC;1,54;1;2
Cap 10µF;478-4086-1-ND;TPSA106M010R1800;0,38;1;2
Cap 0.1µF;311-1142-1-ND;CC0805KRX7R7BB104;0,12;10;4
Res 1K;311-1.00KCRCT-ND;RC0805FR-071KL;0,021;10;1
Res 10k;311-10.0KCRCT-ND;RC0805FR-0710KL;0,021;10;3
Connector RA;SAM1043-50-ND;TSW-150-08-L-S-RA;3,25;50;1
Res 5.6k;311-5.60CRCT-ND;RC0805FR-075R6L;0,021;10;1
Schmit trigger;296-11933-1-ND;SN74LVC1G17DBVR;0,53;1;1
;;;;;
;;;;;
Voltage reference;LM4041DFCT-ND;LM4041DFTA;;;
OP AMP;296-9567-6-ND;LMV321IDBVR;0,68;1;1
ULDO;497-6015-1-ND;LD39080DT33-R;1,84;1;1
Button;SW406-ND;B3F-1070;0,39;1;3
On-Off;EG2585-ND;EG1224;1,11;1;1
Trim-pot;TC33X-104ECT-ND;TC33X-2-104E;0,25;1;1
PNP;MMBT3906-FDICT-ND;MMBT3906-7-F;0,28;1;1
MCU;ATMEGA328-AU-ND;ATMEGA328-AU;3,83;1;1
Led G;P545-ND;LN322GPH;0,46;1;2
Led R;P544-ND;LN222RPH;0,46;1;1
;;;;;
;;;;;
LCD;NHD-C160100DIZ-FSW-FBW-ND;NHD-C160100DIZ-FSW-FBW;;;
CONN;WM1442CT-ND;503480-1400;;;
